FORD
tid attemp_tp tp 50lat 99lat
17 895.078 85.1398 530.996 17983.1
58 893.412 86.3929 524.598 17744.6
23 893.334 86.7784 527.508 17591.4
56 893.272 85.9149 530.526 18113.2
25 893.192 86.3806 528.858 17689.8
55 892.92 84.9613 527.442 17753.1
7 892.63 86.8172 526.878 18337.2
27 892.554 86.3367 524.854 17948.1
57 892.262 86.1569 523.768 17728.5
63 891.948 87.1344 526.786 18017.9
61 891.775 87.1264 528.691 17977.4
60 891.769 86.1538 525.304 17940.8
47 891.698 86.1202 532.699 18014.5
49 890.981 87.3073 523.371 17716.8
9 890.925 86.8474 527.341 17884.2
51 889.501 86.2549 527.584 17907.3
21 887.294 87.1057 530.93 18052.3
52 877.273 83.5691 524.966 17946.4
0 861.154 84.5997 523.143 19955.4
36 860.557 82.0886 515.782 28193.1
2 859.572 83.5934 520.343 21326.6
4 859.389 83.3693 528.538 23913.8
28 857.725 83.3795 512.653 24259.2
18 856.224 84.1326 511.203 25365.5
8 856.014 84.189 524.595 22707.7
6 855.145 84.685 523.406 24662
16 854.438 82.402 514.666 28454.9
24 854.089 82.9406 512.977 24388.3
34 853.627 82.0762 516.261 26086.3
10 853.134 83.701 513.131 22502.5
30 852.749 84.2943 511.388 25517.9
22 852.686 84.3477 511.946 29460.1
20 852.658 83.2961 517.045 24037.8
12 851.688 83.7209 516.027 26997.8
14 851.387 83.0868 519.194 29774.7
26 851.3 83.5125 519.939 25404.7
38 851.177 83.4664 522.075 29335.2
40 850.801 82.3235 516.148 24640.6
42 850.658 85.4911 510.661 25069.6
44 850.169 83.6056 518.584 24001.7
32 849.649 83.5715 515.518 25748.4
50 849.476 82.2717 529.834 18317.7
48 849.485 81.6695 529.722 21744.5
46 847.964 82.0151 520.655 22021.6
56263.8 5455.8 510.661 532.699 523.849 17591.4 29774.7 20697.6

FORD
tid attemp_tp tp 50lat 99lat
35 522.607 46.0469 904.65 39073.8
92 522.275 46.096 910.623 38035.3
45 521.948 45.7905 906.384 39463.6
115 521.067 45.6038 891.587 38609.6
59 520.759 45.4831 897.748 37880.1
95 520.705 46.249 913.024 38581.9
31 520.416 45.1252 901.004 38972.9
43 520.091 45.7004 916.953 38466
5 519.383 46.7393 912.946 39089.9
71 519.298 45.0491 904.651 38942.5
103 519.225 45.6346 898.944 38307
97 519.118 45.4176 909.976 38673.6
1 519.047 45.8319 907.162 38875.1
11 518.998 45.9573 912.012 38825
106 518.348 45.0081 912.943 38711.3
99 518.279 45.365 918.726 38845.4
100 518.273 46.4787 910.763 38345.6
109 517.842 45.8912 916.498 38659
77 517.658 45.8541 905.675 38919.7
107 517.387 45.4783 909.04 38512.4
13 517.136 45.9268 904.67 38672.2
114 517.104 45.4172 912.617 38647.7
108 516.375 46.4325 898.467 38041.1
75 516.217 46.1911 915.414 38067.1
102 516.16 46.7899 904.567 38532.1
