FORD
tid attemp_tp tp 50lat 99lat
5 6226.31 1464.68 92.489 29465.5
15 6185.59 1446.93 92.035 29500.9
11 6158.59 1426.94 92.873 29033.9
9 6125.06 1424.69 94.043 29740.7
14 6118.11 1430.9 93.033 29975.6
10 6103.65 1437.29 92.345 30328.6
4 6094.58 1438.69 93.803 30017.6
7 6085.77 1429.91 92.101 29912.8
8 6071.36 1443.77 93.376 29551.8
2 6069.99 1431.06 93.046 29756.9
6 6058.62 1412.27 94.828 29872.5
0 5986.14 1404.95 94.558 30624.1
12 5964.19 1424.25 90.819 30187.1
1 4886.08 1249.66 69.234 100956
3 4738.46 1164.71 95.901 69025.6
95148 22487 69.234 95.901 91.6658 29033.9 100956 36701.1

FORD
tid attemp_tp tp 50lat 99lat
5 8176.73 1662 166.213 25220.3
13 8133.8 1647.58 167.748 26089.5
15 8059.74 1643.22 167.874 26492.9
11 8053.99 1629.16 168.184 25151.5
4 8023.05 1674.25 166.993 25121.2
9 8021.3 1657.68 166.917 24931.1
14 7988.47 1639.55 167.166 26491.4
10 7986.38 1642.16 169.066 25610.9
8 7976.22 1651.24 168.133 25019.1
2 7970.36 1636.31 169.24 25456.3
6 7948.39 1642.46 166.749 26654.7
7 7941.71 1626.15 168.123 25696.6
12 7923.43 1649.98 168.448 25399.5
0 7882.64 1640.53 167.395 26354.9
3 6171.34 1272.28 174.628 52824
1 6037.58 1344.09 169.66 93391.2
124295 25658.6 166.213 174.628 168.284 24931.1 93391.2 31619.1

FORD
tid attemp_tp tp 50lat 99lat
13 6272.39 1471.5 90.641 26049.7
14 6263.3 1465.11 89.178 25868.6
5 6255.87 1452.99 91.171 26206.4
11 6247.1 1455.07 90.208 25338.8
10 6220.92 1450.22 87.032 26494.3
8 6207 1455.29 88.457 25952.9
12 6172.36 1453.47 89.715 26192.8
3 6168.45 1434.9 89.734 26104.1
6 6163.62 1450.55 88.143 25372.8
15 6159.17 1459.97 91.152 25830.8
9 6140.66 1441.09 89.295 26763.7
7 6126.79 1448.13 89.923 26052.2
1 6116.64 1428.72 92.091 26488.9
4 6028.99 1421.88 85.916 28722.9
0 5214.44 1345.85 49.605 71087
2 5015.42 1259.47 71.155 101323
96773.1 22894.2 49.605 92.091 85.8385 25338.8 101323 33740.6

FORD
tid attemp_tp tp 50lat 99lat
14 1537.1 325.435 340.634 74866.9
2 1531.47 325.039 340.231 75475.1
10 1514.46 321.095 340.891 75738.5
4 1513.87 323.543 339.946 75329.6
8 1505.49 321.964 340.46 75381
0 1496.72 317.695 340.947 75546.7
6 1492.31 317.712 340.613 75270.7
12 1485.07 317.746 340.983 75473.5
1 1430.48 303.72 341.197 93586.6
13 1424.41 304.767 340.965 103410
3 1423.91 301.783 339.887 110226
5 1422.76 303.931 341.54 106090
15 1421.55 302.42 338.541 79749
11 1419.69 300.436 341.009 102707
9 1419.33 303.396 342.281 105317
7 1416.97 303.629 342.33 101869
23455.6 4994.31 338.541 342.33 340.778 74866.9 110226 87877.3



After enabling caches

FORD
tid attemp_tp tp 50lat 99lat
5 5672.6 1667.06 159.985 2278.41
11 5631.17 1642.05 156.964 3597.45
13 5609.26 1641.83 162.074 2429.68
9 5593.46 1600.51 155.645 1998.12
15 5581.65 1622.48 156.719 2229.16
7 5563.98 1620.12 155.452 2221.12
14 5562.59 1601.36 159.697 2404.76
2 5508.97 1608.51 162.52 2176.83
6 5480.9 1602.51 162.526 2388.52
4 5479.96 1611.99 163.881 2303.76
8 5474.7 1617.99 161.54 2373.6
10 5463.83 1597.95 162.687 2264.17
0 5387.2 1613.9 161.42 2269.46
12 5384.11 1626.54 163.593 2150.2
1 4246.54 2467.67 149.012 2833.47
3 4201.59 1923.23 160.64 3397.65
85842.5 27065.7 149.012 163.881 159.647 1998.12 3597.45 2457.27

FORD
tid attemp_tp tp 50lat 99lat
13 4328.01 1359.08 253.486 2530.1
7 4301.09 1354.24 247.372 3673.33
11 4292 1350.18 254.44 4800.56
9 4282.05 1321.27 247.327 2745.93
15 4270.15 1336.98 251.842 2730.11
14 4256.57 1319.45 253.004 2511.37
10 4231.49 1323.78 256.834 2631.49
4 4230.08 1316.23 260.048 2893.14
2 4229.14 1318.48 257.619 2618.71
8 4213.72 1332.63 258.293 2827.73
6 4192.62 1334.43 259.864 2656.66
12 4174 1326.58 258.187 2737.76
0 4160.3 1321.64 259.945 3221.11
1 3588.07 1699.02 204.162 3214.93
3 3466.67 1713.64 213.209 3754.21
5 3463.11 1259.67 255.62 3904.67
65679.1 21987.3 204.162 260.048 249.453 2511.37 4800.56 3090.74

FORD
tid attemp_tp tp 50lat 99lat
5 5583.85 1700.84 191.581 1941.32
13 5515.41 1692.02 193.305 2164.34
11 5499.88 1652.93 193.85 2637.91
9 5468.73 1648.6 188.624 1805.5
15 5453.73 1638.3 191.511 2302.1
14 5446.03 1630 193.301 2158.26
8 5429.98 1638.23 195.076 2334.61
7 5424.9 1645.48 189.965 2063.83
10 5424.54 1627.04 195.597 2083.34
2 5405.35 1639.88 197.072 2034.9
6 5385.54 1649.16 195.676 2191.29
4 5381.86 1644.7 198.351 2501.79
0 5347.35 1646.13 194.441 2561.28
12 5345 1640.49 192.932 2124.32
1 4234.56 2427.5 175.433 2688.46
3 4175.83 1959.63 195.246 3344.66
84522.5 27480.9 175.433 198.351 192.623 1805.5 3344.66 2308.62

FORD
tid attemp_tp tp 50lat 99lat
5 5727.01 1674.23 157.182 2363.96
13 5676.37 1659.32 157.685 2063.94
11 5622.81 1635.67 160.618 3389.76
15 5618.03 1627.54 156.859 2203.72
6 5559.92 1620.38 159.734 2161.43
7 5557.76 1618.53 158.558 2113.11
9 5553.59 1612.54 155.687 1732.35
2 5546.95 1613.94 161.86 2331.55
4 5537.89 1625.15 162.427 2344.18
14 5528.81 1589.97 162.121 2215.09
8 5522.74 1618.27 161.039 2366.34
10 5511.76 1611.64 162.889 2223.84
0 5437.63 1614.11 161.509 2473.26
12 5438.06 1624.78 159.85 2336.78
3 4201.67 2212.51 178.204 5125.92
1 2834.56 2123.88 155.438 2710.56
84875.6 27082.5 155.438 178.204 160.729 1732.35 5125.92 2509.74

FORD
tid attemp_tp tp 50lat 99lat
13 4565.82 1148.03 177.783 1715.08
5 4564.74 1149.04 182.504 1761.15
11 4537.02 1140.7 176.839 1813.99
15 4517.51 1124.14 175.607 1702.97
14 4505.9 1103.31 177.31 1790.55
1 4503.94 1123.37 177.901 1754.66
3 4503.42 1108.02 174.698 1887.67
8 4501.01 1132.18 176.708 1704.8
10 4493.03 1112.03 175.568 1722.65
6 4481.31 1121.04 177.03 1728.97
9 4479.47 1100.87 177.249 1719.55
7 4469.1 1116.56 177.2 1683.57
12 4459.67 1116.34 175.628 1774.5
0 3918.57 1290.46 147.015 2519.97
2 3798.75 1375.98 142.584 4323.91
4 3710.11 1226.93 168.419 3806.67
70009.4 18489 142.584 182.504 172.503 1683.57 4323.91 2088.17

FORD
tid attemp_tp tp 50lat 99lat
13 5532.64 1678.16 193.112 2132.2
11 5529.83 1677.09 190.668 2649.59
