FORD
tid attemp_tp tp 50lat 99lat
23 19109.8 1562.89 165.377 286.455
24 19108.6 1558.4 167.203 279.89
26 19103.4 1550.91 167.723 276.428
51 19101.7 1548.16 166.948 276.613
50 19100.7 1557.64 167.921 276.372
34 19099.5 1546.79 167.177 280.749
31 19095.2 1555.63 166.744 279.664
56 19093.6 1551.78 167.78 279.3
45 19089.5 1550.83 167.552 283.336
32 19080.8 1554.68 168.064 277.913
47 19077.4 1547.52 167.138 275.066
44 19073.5 1549.88 168.169 280.194
62 19071.7 1545.15 168.104 282.173
30 19070.5 1542.67 168.086 278.433
21 19049.4 1562.85 164.947 346.973
19 18976.7 1533.89 165.865 404.968
1 18966.1 1496.61 166.795 462.883
3 18957.1 1498.78 166.556 491.525
5 18924.8 1498.9 166.054 500.048
13 18892.2 1498.13 166.599 476.492
17 18885.2 1504.7 168.142 420.817
11 18872.7 1475.48 168.194 485.619
7 18862.8 1464.96 168.342 498.553
15 18855.1 1481.71 169.292 455.733
9 18853.2 1470.06 168.434 502.096
22 18519.5 1511.8 166.432 439.913
0 18081.6 1157.91 180.576 891.192
20 17983.2 1419.33 169.663 611.384
2 17976.4 1160.88 187.217 980.047
18 17872.8 1351.42 172.857 728.874
4 17853.5 1130.86 189.788 1028.37
6 17814.7 1133.73 187.863 1047.9
8 17814.3 1160.41 186.441 1008.78
14 17742.3 1249.78 177.593 908.52
12 17718.3 1197.69 180.734 986.75
16 17718.1 1286.78 175.649 835.729
10 17709.7 1165.46 184.347 1007.41
1.20899e+06 95549.7 163.347 189.788 168.991 273.669 1047.9 420.695

FORD
tid attemp_tp tp 50lat 99lat
63 9380.93 423.437 360.208 658.597
71 9349.44 419.332 361.885 678.014
59 9343.87 416.363 363.696 663.309
67 9333.7 421.995 362.372 617.152
62 9330.8 418.897 363.554 662.428
65 9330.69 418.584 364.193 641.094
87 9327.93 417.369 364.588 547.629
58 9322.62 414.838 365.375 670.182
41 9322.28 416.585 362.946 529.469
107 9322.06 418.048 363.043 532.109
51 9321.7 418.069 363.815 532.819
57 9317.72 414.993 366.274 654.452
85 9316.82 419.919 364.047 535.905
44 9316.31 419.327 364.458 533.726
81 9314.87 415.359 364.402 544.816
69 9314.67 414.298 365.6 632.644
119 9307.71 415.971 365.173 534.768
49 9306.51 414.949 365.787 531.764
115 9304.7 414.497 366.878 534.407
103 9304.5 417.316 365.807 530.78
61 9304.56 413.067 365.633 636.62
91 9304.47 416.152 366.814 532.085
111 9303.63 415.574 366.525 533.648
123 9301.61 415.28 366.015 545.841
125 9301.02 413.579 364.798 535.767
39 9300.24 416.678 364.59 530.609
77 9300.13 411.317 365.526 544.173
102 9299.96 415.197 364.856 534.869
109 9300.09 416.895 366.018 537.686
75 9299.65 417.098 365.867 540.055
55 9299.16 415.003 365.869 534.988
53 9298.94 415.142 364.814 549.029
56 9297.21 415.39 366.715 617.782
83 9296.43 415.997 365.89 537.881
45 9295.26 414.169 365.943 544.588
37 9295.19 414.249 364.977 534.912
121 9294.78 415.681 366.047 536.483
64 9294.7 410.11 367.445 636.49
79 9294.55 416.898 365.519 550.146
95 9293.1 415.29 366.586 535.664
78 9292.86 414.081 366.124 529.674
114 9292.65 409.815 367.317 539.882
127 9291.83 412.957 367.589 545.335
84 9291.61 417.834 365.471 548.32
54 9291.36 414.46 367.292 543.895
94 9290.84 414.985 367.725 536.611
113 9290.65 413.369 367.264 541.015
47 9289.9 411.357 366.117 538.35
99 9289.55 416.2 367.62 543.085
117 9289.28 413.735 364.95 544.253
40 9289.09 414.646 367.934 537.606
104 9288.9 414.731 367.971 541.215
92 9288.68 414.405 365.932 540.463
70 9288.14 409.858 368.67 664.737
110 9288.18 411.318 368.562 540.831
43 9288.03 413.81 367.08 536.052
101 9288.06 414.173 368.177 533.918
97 9287.83 416.234 366.106 538.274
73 9287.23 415.083 366.624 537.402
66 9286.29 415.274 367.951 657.914
98 9286.38 414.637 368.608 543.2
116 9285.43 417.092 366.557 537.221
72 9285.13 414.405 367.633 533.045
124 9285.02 413.453 367.97 535.128
60 9284.76 414.435 366.716 645.968
93 9284.3 413.402 366.317 532.406
106 9283.92 409.876 368.522 543.221
50 9282.66 414.592 368.151 534.477
89 9282.64 411.871 367.7 530.891
42 9282.21 413.643 368.494 537.867
105 9281.54 412.889 367.55 532.891
100 9281.33 413.483 367.97 538.024
76 9280.86 410.205 367.675 535.373
118 9280.65 412.766 368.682 538.791
108 9280.41 412.737 368.234 539.267
52 9280.29 413.595 368.342 530.124
68 9279.52 412.818 367.282 661.698
80 9279.28 410.042 369.257 528.234
74 9278.77 413.415 368.269 537.612
88 9278.48 413.096 367.99 528.487
96 9278.27 411.445 367.91 544.412
38 9277.91 412.041 367.776 534.435
46 9277.83 412.195 368.535 536.13
48 9277.68 410.306 368.829 544.842
90 9277.41 415.517 367.714 535.379
112 9277.32 413.648 369.452 540.381
126 9276.76 409.875 368.447 535.57
120 9276.43 409.898 368.623 543.793
122 9276.05 410.614 370.333 538.336
86 9275.34 409.358 369.61 545.32
82 9275.23 407.48 370.191 532.288
33 9272.48 412.709 365.691 537.602
35 9270.24 411.543 367.748 541.79
31 9260.75 412.288 365.127 561.647
29 9254.1 414.426 367.274 555.754
21 9250.78 414.49 365.055 584.964
23 9249.88 413.655 366.127 557.828
27 9249.73 411.742 367.669 558.088
25 9248.43 409.419 367.255 562.415
19 9243.83 408.892 366.6 619.667
1 9241.83 381.207 376.467 967.238
17 9237.14 404.448 368.673 654.29
3 9237.13 382.399 376.285 1002.25
7 9237.11 379.858 376.617 1020.83
15 9236.78 398.816 370.548 792.679
13 9235.42 396.495 370.661 799.996
5 9233.88 381.525 377.193 1003.73
11 9232.37 386.024 374.898 947.977
9 9232.24 381.763 375.133 992.503
36 9166.5 404.619 369.538 559.324
34 9115.79 402.48 368.652 568.942
32 9035.69 400.073 367.576 600.467
0 8994.48 213.781 696.876 2337.7
2 8974.3 224.519 652.758 2407.91
30 8960.8 394.275 369.986 635.065
4 8954.55 235.881 602.912 2436.54
8 8954.48 252.069 452.56 2348.77
6 8951.96 238.668 503.906 2395.23
28 8940.53 395.27 367.309 643.328
26 8927.61 393.109 369.824 699
10 8925.89 281.076 406.847 2249.73
24 8916.77 393.408 367.821 799.384
12 8915.75 309.617 392.615 2035.78
14 8903 340.317 380.817 1691.65
20 8902.8 386.471 372.659 966.057
18 8902.68 375.15 374.939 1152.3
22 8900.27 391.372 370.542 873.308
16 8900.2 358.304 376.263 1456.61
1.18261e+06 51304.2 360.208 696.876 376.467 528.234 2436.54 709.745

FORD
tid attemp_tp tp 50lat 99lat
3 96376.2 82175.7 87.379 155.769
1 679373 579636 91.939 164.25
2 66588.8 56844.1 100.233 530.906
0 141345 120687 105.387 515.436
983683 839342 87.379 105.387 96.2345 155.769 530.906 341.59

FORD
tid attemp_tp tp 50lat 99lat
5 95069.9 73281.1 92.762 166.626
7 90046.9 69482.2 97.819 174.01
3 709356 548637 103.138 189.88
1 679934 525873 103.68 188.154
6 81589.8 63175.6 107.774 189.412
4 64387.9 50081 112.756 569.106
2 183045 143312 104.784 622.489
0 176768 138978 105.88 604.814
2.0802e+06 1.61282e+06 92.762 112.756 103.574 166.626 622.489 338.061

FORD
tid attemp_tp tp 50lat 99lat
4 144855 44000.2 86.191 203.238
7 143710 43501.4 86.477 202.151
15 139745 42321.7 88.773 205.537
3 139578 42322.3 88.894 203.08
11 139020 42173.4 89.1 205.087
13 138768 42189.1 89.221 204.076
12 136015 41250.3 91.373 204.697
9 135616 41177.3 91.418 206.319
5 134051 40627 92.165 207.661
8 131971 39963.9 94.245 209.288
6 130536 39503.8 95.194 211.627
14 129781 39264.7 95.696 212.477
10 129448 39143 95.786 215.885
1 122565 37016.9 100.143 229.53
2 411147 141607 104.942 519.977
0 257182 107690 86.325 714.443
2.56399e+06 823752 86.191 104.942 92.2464 202.151 714.443 259.692

FORD
tid attemp_tp tp 50lat 99lat
20 81277.5 10004.1 178.074 633.101
10 81143.5 9951.52 180.353 632.099
6 81129.1 9966.8 177.725 635.348
7 79509.3 9697.67 186.076 633.06
9 79078 9687.14 186.156 639.56
31 78794.9 9706.82 187.055 633.624
13 78754.8 9705.11 187.606 635.896
29 78470.1 9652.84 186.774 645.111
18 77872.6 9517.6 191.176 648.946
11 76608.6 9383.32 195.545 634.919
8 76232.6 9383.77 198.489 639.512
27 75921 9325.22 197.64 637.502
1 74735.3 9144.53 203.07 646.359
19 74698.3 9145.83 200.867 638.774
5 74566.3 9182.24 206.034 641.73
23 74455 9132.72 201.24 650.999
12 74283.4 9088.12 204.732 643.846
26 73948.7 9034.39 208.498 646.618
30 73890.1 9021.39 208.075 645.153
21 73747.5 9054.72 207.304 638.32
17 73628.1 9008.25 206.758 643.823
25 71587.8 8765.85 216.003 636.91
24 70893.3 8686.49 222.181 638.166
