FORD
tid attemp_tp tp 50lat 99lat
51 21646.1 14209.9 26.807 222.05
18 21607.3 14181.6 26.847 223.488
20 21604.8 14153.4 26.836 223.747
34 21602.7 14159.5 26.849 222.808
36 21600.4 14171.1 26.86 223.342
24 21599.6 14160.2 26.87 223.425
30 21599.1 14163.3 26.858 225.097
26 21596 14143.3 26.853 223.367
32 21593.8 14152.4 26.859 223.292
46 21593.7 14156.6 26.859 223.009
44 21588.2 14155.2 26.893 224.568
42 21586.5 14146.9 26.859 225.27
58 21585.8 14145.4 26.862 223.365
16 21585.6 14153.2 26.84 223.776
52 21585 14142.4 26.866 224.079
60 21583.5 14159.1 26.915 223.504
14 21583.2 14152.4 26.874 224.67
48 21583.7 14153.8 26.886 223.66
50 21581.9 14134.2 26.888 223.878
56 21580.4 14140 26.865 223.578
12 21580 14141.4 26.87 223.448
54 21579.2 14144.3 26.892 223.791
40 21579.6 14147.4 26.868 224.375
38 21577.7 14147.7 26.884 224.923
28 21567.2 14138.4 27.055 223.906
62 21566.7 14145 27.007 225.26
22 21560.6 14131 27.074 223.302
9 21264 13936.2 26.637 234.749
1 21213.9 13875 25.964 257.048
7 21164.8 13870.4 26.467 242.977
5 20875.3 13661 26.149 258.385
3 20869 13633.1 26.108 264.79
10 20091.2 13175.1 27.165 236.52
8 19869.2 13036 26.727 244.772
0 19865.6 12881.6 22.91 432.826
2 19537.8 12694.6 21.938 397.898
6 19530.9 12774.3 23.875 325.187
4 19474.8 12710.6 22.476 357.265
1.37052e+06 897932 21.938 27.165 26.5305 220.53 432.826 235.539

FORD
tid attemp_tp tp 50lat 99lat
37 10684.5 6944.53 57.79 456.124
115 10678.8 6939.87 57.754 455.549
123 10678.7 6944.34 57.84 457.214
119 10676.3 6942.65 57.823 459.246
33 10674.9 6943.36 57.803 455.697
89 10674.3 6934.83 57.817 456.382
103 10671.8 6936.59 57.811 457.712
39 10669.9 6936.74 57.786 455.733
87 10669.7 6945.97 57.861 456.19
91 10669.3 6935.14 57.79 456.105
23 10667.8 6942.95 57.837 455.717
81 10665.1 6944.14 57.83 457.544
99 10663.3 6935.23 57.87 457.194
101 10661.5 6925.84 57.809 457.877
13 10661.1 6929.95 57.783 459.318
53 10660.6 6934.56 57.849 455.965
27 10656.1 6927.67 57.803 461.424
