FORD
tid attemp_tp tp 50lat 99lat
52 7667.41 7667.01 129.009 205.284
63 7666.78 7666.35 128.73 211.467
38 7665.3 7665.01 128.311 210.334
42 7661.3 7660.92 128.66 212.026
1 7656.42 7656.02 119.091 608.888
40 7655.72 7655.41 128.854 211.734
30 7654.67 7654.33 129.004 203.145
34 7651.13 7650.68 129.13 202.755
36 7648.5 7648.11 129.019 211.626
47 7646.42 7646.01 129.574 216.1
62 7641.86 7641.54 129.339 214.142
31 7638.43 7638.02 129.785 213.121
32 7630.72 7630.27 129.771 213.022
23 7619.57 7619.12 129.186 299.903
9 7618.82 7618.46 118.551 642.76
3 7610.94 7610.6 118.141 657.933
46 7607.82 7607.47 130.742 214.843
7 7596.28 7595.95 119.089 670.109
44 7592.92 7592.52 131.426 216.428
11 7576.29 7575.97 121.204 655.133
21 7555.89 7555.41 127.858 495.586
17 7545.26 7544.91 123.637 604.824
13 7486.95 7486.57 124.879 659.075
5 7475.98 7475.61 123.559 683.127
19 7471.21 7470.89 129.389 567.377
15 7461 7460.53 126.503 649.317
22 7418.27 7417.94 131.412 408.054
0 7406.23 7405.85 117.002 781.826
14 7399.01 7398.58 117.427 795.649
2 7390.38 7390.01 115.215 831
18 7353.74 7353.42 126.479 700.356
4 7326.07 7325.65 117.063 857.497
20 7325.96 7325.58 129.828 649.415
16 7320.71 7320.41 124.274 770.646
12 7308.87 7308.45 120.973 816.3
8 7308.29 7307.97 119.944 825.898
6 7291.31 7290.94 119.119 853.069
10 7269.83 7269.55 122.01 826.275
490881 490857 115.215 131.426 124.828 187.063 857.497 383.807

FORD
tid attemp_tp tp 50lat 99lat
89 3801.72 3801.34 258.651 473.012
62 3711.66 3711.34 264.316 606.507
116 3699.97 3699.63 265.788 420.139
119 3665.63 3665.29 268.981 470.247
74 3656.51 3656.19 270.056 475.583
92 3636.7 3636.36 271.367 483.033
76 3621.87 3621.43 272.796 432.555
127 3614.19 3613.82 273.136 429.469
101 3614.04 3613.73 272.719 483.75
60 3591.92 3591.61 273.737 614.485
36 3590.91 3590.53 276.32 479.172
114 3578.56 3578.22 277.179 481.972
56 3578.3 3577.89 275.317 580.979
120 3572.47 3572.16 278.628 483.566
44 3563.16 3562.8 277.441 483.413
48 3554.06 3553.7 278.872 477.472
64 3549.36 3549.01 276.629 611.157
1 3545.97 3545.64 268.994 798.603
39 3545.64 3545.28 278.021 447.157
125 3545.42 3545.13 278.861 484.604
103 3542.47 3542.2 280.141 490.307
63 3532.59 3532.24 278.188 616.043
102 3531.51 3531.17 281.129 490.425
90 3529.38 3528.98 282.828 446.498
107 3528.93 3528.65 281.673 481.375
34 3526.06 3525.73 279.948 482.325
50 3525.18 3524.88 281.738 486.923
68 3524.73 3524.37 278.864 615.404
58 3524.66 3524.29 279.828 546.518
109 3521.93 3521.51 280.604 490.176
41 3519.41 3519.1 280.817 484.004
46 3519.13 3518.79 283.593 482.719
81 3518.41 3518.11 282.011 491.077
54 3516.32 3515.98 282.479 487.953
80 3515.52 3515.22 282.711 488.379
71 3508.22 3507.91 280.266 616.508
43 3506.27 3505.96 283.912 486.006
124 3505.87 3505.53 285.204 484.775
35 3503.05 3502.63 281.898 488.513
118 3500.06 3499.75 285.976 487.599
123 3496.91 3496.56 286.997 484.229
70 3494.44 3494.14 286.762 540.95
53 3493.23 3492.93 284.186 493.157
100 3492.74 3492.47 284.351 485.025
37 3491.08 3490.78 284.642 485.24
47 3490.47 3490.12 286.018 489.799
40 3489.94 3489.54 285.93 490.183
94 3488.49 3488.16 284.567 486.867
88 3488.25 3487.94 286.575 490.38
75 3488.35 3488.06 285.176 489.125
72 3487.91 3487.61 287.503 486.669
52 3486.42 3486.06 286.634 487.746
117 3484.47 3484.12 283.394 451.941
33 3478.7 3478.38 286.307 518.932
49 3477.7 3477.4 286.794 485.503
91 3477.29 3476.94 287.414 491.816
126 3474.82 3474.49 288.446 487.683
69 3471.64 3471.34 285.236 609.901
67 3470.97 3470.59 287.531 612.927
115 3470.6 3470.28 288.913 493.366
84 3470.65 3470.32 289.289 488.043
42 3470.25 3469.97 288.22 491.154
83 3468.24 3467.97 289.942 493.154
106 3467 3466.67 289.891 489.651
61 3466.1 3465.77 287.345 620.082
73 3463.65 3463.29 288.248 501.577
113 3463.24 3462.99 289.964 491.639
122 3463.17 3462.82 290.839 448.461
112 3462.8 3462.42 289.157 486.693
110 3462.27 3461.93 289.143 489.046
96 3460.11 3459.72 292.338 495.295
108 3457.12 3456.81 293.182 492.9
77 3457.17 3456.78 289.7 456.765
45 3456.7 3456.33 290.917 486.744
51 3455.16 3454.89 290.505 489.679
95 3454.2 3453.9 292.052 493.243
82 3453.48 3453.17 292.175 452.636
111 3452.68 3452.33 292.398 486.446
57 3452.52 3452.15 289.633 532.366
17 3451.45 3451.05 279.145 856.797
13 3451.07 3450.68 276.772 905.235
3 3450.89 3450.55 277.567 896.947
19 3450.63 3450.32 278.04 835.982
78 3450.54 3450.22 295.16 487.139
2 3449.74 3449.38 246.302 1291.17
121 3449.63 3449.29 291.705 487.92
38 3448.77 3448.5 293.148 485.874
86 3448.83 3448.49 293.67 487.347
59 3448.13 3447.76 292.135 616.385
104 3446.48 3446.15 292.956 489.605
97 3446.09 3445.74 292.432 492.068
25 3445.7 3445.36 283.602 829.294
99 3445.07 3444.77 293.637 490.513
66 3444.43 3444.05 291.965 616.531
105 3444.07 3443.76 295.94 484.705
98 3442 3441.69 294.89 486.989
21 3441.87 3441.47 282.127 843.565
65 3441.43 3441.06 292.002 609.185
93 3440.18 3439.89 294.468 492.098
87 3439.62 3439.28 297.55 493.311
85 3439.45 3439.14 295.346 459.453
79 3439.4 3439.06 298.727 489.341
55 3435.11 3434.73 297.763 494.959
11 3434.78 3434.44 281.506 930.72
0 3433.68 3433.36 255.651 1236.08
4 3431.86 3431.54 253.43 1326.98
31 3431.05 3430.68 292.753 747.43
7 3429.24 3428.92 284.18 943.544
27 3427.93 3427.56 293.59 830.903
15 3427.23 3426.88 290.301 893.549
29 3425.61 3425.27 296.096 817.082
6 3423.67 3423.31 260.265 1351.59
9 3423.37 3423.07 289.137 952.395
5 3422.7 3422.42 289.506 932.678
23 3418.81 3418.49 296.249 855.141
8 3412.25 3411.87 262.355 1339.16
12 3411.06 3410.73 266.621 1322.84
20 3410.93 3410.58 273.903 1220.88
32 3410.51 3410.15 289.453 772.661
14 3401.1 3400.8 273.412 1323.81
22 3398.29 3397.97 283.246 1226.37
18 3397.44 3397.08 281.184 1248.51
16 3397.1 3396.82 277.495 1275.33
28 3390.27 3390.02 293.596 1139.63
10 3388.84 3388.48 278.097 1364.44
30 3385.5 3385.18 300.103 1060.73
24 3384.37 3384.06 294.984 1234.97
26 3384.2 3383.91 295.528 1208.78
446081 446038 246.302 300.103 283.669 420.139 1364.44 644.422

FORD
tid attemp_tp tp 50lat 99lat
3 89044.6 89042.5 85.812 143.979
1 529844 529827 90.698 149.257
